Name,Price,Rating
"Lenovo ThinkPad T480s - FHD 14"" i7-8650U @ 1.90 GHz 16GB/256GB Windows 11 Pro",$279.99,No rating
"Lenovo ThinkPad T480 14"" FHD i5 8350u 16GB 512gb NVME WIFI CAM WIN 11 PRO laptop",$279.99,No rating
Dell Laptop Latitude 3310 PC Computer 8GB RAM 128GB SSD Windows 11 Core i3 HDMI,$164.99,No rating
"Dell Precision M4800 15"" Laptop PC Core i7 16GB RAM 500GB SSD Windows 10 Webcam",$229.99,No rating
Dell Latitude 5480 Laptop Computer Windows 10 PC Core i5 8GB RAM 1TB HDMI WiFi,$154.99,No rating
"Lenovo ThinkBook 15 Gen 4 Notebook 15.6"" FHD AMD R7 5825U 16GB RAM 512GB SSD",$479.99,No rating
"~CLEARANCE~ 15.6"" Dell Latitude i7 Laptop: 16GB RAM! 256GB SSD! Windows 10 Pro!",$219.99,No rating
Dell Latitude E6410 Laptop Intel Core i5-2.53GHz 4GB 250GB DVD-RW WiFi Win10,$109.99,4.0 out of 5 stars.
"~OVERSTOCK~ 14"" Dell Latitude Laptop: Intel i7 Quad Core! 32GB RAM! 1TB SSD!",$374.95,No rating
"~CLEARANCE~ 14"" Dell Latitude Laptop PC: 16GB RAM! 1TB HDD! Windows 10! Webcam!",$179.99,No rating
"HP 15-dw2063st 15.6"" HD LED BV Core i3-1005G1 1.2 GHz 8GB DDR4 128GB SSD W11H",$148.00,5.0 out of 5 stars.
"NEW HP  15-dy5131wm 15.6"" Laptop, Intel i3 12th gen 8GB RAM 256GB SSD Silver",$318.95,4.5 out of 5 stars.
"Dell Latitude 5420 14"" 2021 2.6 GHz i5-1145G7 8GB RAM 256GB SSD - MINT CONDITION",$254.99,No rating
"2024 HP Pavilion Laptop 15.6"" HD Touch Intel i3-1215U Upto 32GB RAM & 2TB SSD",$399.00to$639.00,No rating
"Dell Latitude 3380 Laptop PC Computer 13.3"" 8GB RAM 128GB SSD Windows 10",$119.99,No rating
HP ProBook 650 G4 15.6” Core i7 8550U 1.8GHz 32GB RAM 1TB SSD Win 11 Pro,$365.00,No rating
"Dell Latitude 3520 i3-1115G4 3.00Ghz 8GB RAM 256GB SSD 15.6"" Laptop Made in 2022",$160.00,No rating
"Dell Latitude 5320 2-in-1 13.3"" FHD Touch i7-1185G7 32GB 1TB SSD FPReader W11Pro",$422.06,No rating
"Acer Swift X - 14.5"" Laptop Intel Core i7-13700H 1.80GHz 16GB RAM 1TB SSD W11H",$749.99,No rating
CHUWI CoreBook X Laptop Core i5 Light Gaming Business 8GB RAM 512GB SSD Win 11,$198.71,No rating
"Dell Latitude 13.3"" Laptop PC Computer Core i5 16GB RAM 256GB SSD Windows 11",$229.99,No rating
Shop on eBay,$20.00,No rating
Shop on eBay,$20.00,No rating
CHUWI CoreBook X Laptop Core i5 Light Gaming Business 8GB RAM 512GB SSD Win 11,$198.71,No rating
"Dell Latitude 13.3"" Laptop PC Computer Core i5 16GB RAM 256GB SSD Windows 11",$229.99,No rating
"HP 14"" ProBook 640 G4 Laptop /1.9 GHz Intel Core i7 /512GB /3YD92UT#ABA /W10 Pro",$190.50,No rating
"CHUWI HeroBook Pro 14.1"" Windows 11 Laptop Intel N4020 8/12/16GB RAM 256GB SSD",$100.99to$229.99,No rating
"HP 15-dw2063st 15.6"" HD LED BV Core i3-1005G1 1.2 GHz 8GB DDR4 128GB SSD W11H",$148.00,5.0 out of 5 stars.
"2024 HP Pavilion Laptop 15.6"" HD Touch Intel i3-1215U Upto 32GB RAM & 2TB SSD",$399.00to$639.00,No rating
HP 17-cn1009cy 17in Touch Laptop Intel i5-1155G7 12gb 512gb SSD Win11,$379.99,No rating
"Dell Latitude 3380 Laptop PC Computer 13.3"" 8GB RAM 128GB SSD Windows 10",$119.99,No rating
~TOUCHSCREEN~ 2-in-1 HP Elite X2 Tablet PC: Intel M3! 4GB RAM! 128GB SSD!,$99.99,No rating
"Dell Latitude 3520 i3-1115G4 3.00Ghz 8GB RAM 256GB SSD 15.6"" Laptop Made in 2022",$160.00,No rating
"Dell Latitude 5320 2-in-1 13.3"" FHD Touch i7-1185G7 32GB 1TB SSD FPReader W11Pro",$422.06,No rating
